componente,anoPlanilha,habilidade,descricao,ondas,agrupamento,moduloOndas,aulaOndas,paginaCaderno,aulaPF,sugestoes,complementar
Maneiras de pensar e agir,1º,EF01HI01,Identificar aspectos do seu crescimento por meio do registro das lembranças particulares ou de lembranças dos membros de sua família e / ou de sua comunidade.,1.0,1º e 2º,Módulo 8,Aula 40,81 e 82,MP_Unidade_01: Eu e eu mesmo no grupo,"Separar os alunos em duplas e pedir que observem o seucolega. Em forma de desenho, solicitar que descrevam oque acham que o coleguinha está sentindo.","História: Vermelha de Vergonha
Autora: Marcia Coivo Villela
Narradora: Natiara"
Maneiras de pensar e agir,1º,EF02HI02,Identificar e descrever práticas e papéis sociais que as pessoas exercem em diferentes comunidades.,1.0,1º e 2º,Módulo 8,Aula 40,81 e 82,MP_Unidade_01: Eu e eu mesmo no grupo,"Separar os alunos em duplas e pedir que observem o seucolega. Em forma de desenho, solicitar que descrevam oque acham que o coleguinha está sentindo.","História: Vermelha de Vergonha
Autora: Marcia Coivo Villela
Narradora: Natiara"
Cidadania e Convivência em Paz,3º,EF03HI07,"Identificar semelhanças e diferenças existentes entre comunidades de sua cidade ou região, e descrever o papel dos diferentes grupos sociais que as formam",1.0,3º,Módulo 1,Aula 01,03 e 04,CIC_Unidade_03: As relações familiares,"Solicitar aos alunos que levem fotos de familiarese/ou responsáveis, para montar um mural na salade aula.","História: No reino da Lagartolândia
Autora: Patrícia Senna
Narradora: Patrícia Marisa"
Língua Portuguesa,3º,EF03LP02,"Ler e escrever corretamente palavras com sílabas CV, V, CVC, CCV , VC, VV, CVV, identificando que existem vogais em todas as sílabas.",1.0,3º,Módulo 1,Aula 02,05 e 06,LP_Unidade_14: M/N/J/G E Relato,"De forma a contribuir com a aprendizagem, realizarjunto aos alunos um bingo de palavras. Com aspalavras sorteadas no bingo, solicite que elesconstruam frases.","História: Belas Bananas
Autora: Elizabeth Laird
Narradora: Aline Avila"
Matemática,3º,EF03MA05,"Desenvolvimento de estratégias pessoais e convencionais de cálculo envolvendo adição, subtração e Conteúdos: multiplicação (usando propriedades do sistema de numeração).",1.0,3º,Módulo 1,Aula 03,7 e 8,MAT_Unidade_07: Somando e subtraindo: Ampliando conceitos,"Solicitar à turma que levem tampinhas de garrafas, para quena sala de aula, agrupem por cores verificando a quantidadeque cada aluno levou, e somando com todos da turma.","História: O macaco Simão
Autor: Ricardo Azevedo
Narradora: Natiara"
Ciências,3º,EF03CI04,"Identificar características sobre o modo de vida (o que comem, como se reproduzem, como se deslocam etc.) dos animais mais comuns no ambiente próximo.",1.0,3º,Módulo 1,Aula 04,9 e 10,CIE_Unidade_04: Estudos dos animais,"Solicitar que os alunos levem figuras de animais e junto àeles construir um cartaz com as imagens para que os alunospossam classificar esses animais de acordo com asua alimentação.","História: O Ovo
Autores: Ivan Zigg e Marcello Araújo
Narradora: Luciana Celi"
Princípios para uma vida saudável,3º,EF03GE8,"Relacionar e comparar a produção de lixo doméstico ou da escola aos problemas causados pelo consumo excessivo e construir propostas para o consumo consciente, considerando a ampliação de hábitos de redução, reuso e reciclagem/descarte de materiais consumidos em casa, na escola e/ou no entorno.",1.0,3º,Módulo 1,Aula 05,11 e 12,VID_Unidade_04: Os cuidados com a natureza,"Criar um cartaz com os quatro “R” importantes para a conservação de nosso planeta: Reduzir, Reutilizar, Reciclar e Recuperar. Essas ações são importantes no processo de reciclagem. Assim, os alunos poderão ver todos os dias o cartaz e colocar em prática os quatro “R’s” no seu dia-a-dia. Lembrando que significam: Reduzir a quantidade de lixo; Reutilizar embalagens e sacos; Reciclar materiais e Recuperar materiais, para voltar a utilizá-los.","História: O Porquinho Dorminhoco
Autor: John Malam
Narradora: Conceição"
Cidadania e Convivência em Paz,3º,EF03GE2,"Identificar, em seus lugares de vivência, marcas de contribuição cultural e econômica de grupos de diferentes origens enfatizando as contribuições dos povos originários de cada região.",1.0,3º,Módulo 2,Aula 06,13 e 14,CIC_Unidade_04: Elementos da Cidade,"Formar grupos e pedir para que eles identifiquem algumasprofissões das pessoas que fazem parte do seu bairro. Emseguida, escolher uma dessas profissões e explicar para oscolegas o que esse profissional faz e qual a importância delepara a comunidade.","História: Poemas Problemas
Autora: Renata Bueno
Narradora: Sonia Kerner"
Língua Portuguesa,3º,EF15LP14,"Construir o sentido de histórias em quadrinhos e tirinhas, relacionando imagens e palavras e interpretando recursos gráficos (tipos de balões, de letras, onomatopeias)",1.0,3º,Módulo 2,Aula 07,15 e 16,LP_Unidade_04: Onomatopeias e Poemas,"Criar um cartaz com palavras terminadas com a letra S epalavras no plural. Em seguida, pedir para que os alunosidentifiquem as palavras terminadas com a letra s,circulando-as, e grifando as palavras no plural.","História: A Feira de Aracaju
Autor: Abdias Soares
Narradora: Maria Aldira da Silva Nascimento"
Língua Portuguesa,3º,EF15LP14,"Construir o sentido de histórias em quadrinhos e tirinhas, relacionando imagens e palavras e interpretando recursos gráficos (tipos de balões, de letras, onomatopeias)",1.0,3º,Módulo 2,Aula 07,15 e 16,LP_Unidade_12: Inho/ão/s/z/ e Contos,"Criar um cartaz com palavras terminadas com a letra S epalavras no plural. Em seguida, pedir para que os alunosidentifiquem as palavras terminadas com a letra s,circulando-as, e grifando as palavras no plural.","História: A Feira de Aracaju
Autor: Abdias Soares
Narradora: Maria Aldira da Silva Nascimento"
Matemática,3º,EF03MA05,"Desenvolvimento de estratégias pessoais e convencionais de cálculo envolvendo adição, subtração e Conteúdos: multiplicação (usando propriedades do sistema de numeração).",1.0,3º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_01: O mundo dos números,"Pedir para que cada um, que desenhe em seu cadernodiversas imagens de instrumentos de medida como, porexemplo: régua, termômetro, balança, jarra. Em seguida,solicitar para que o estudante circule apenas o instrumentode medida utilizado pelos feirantes para medir a massados alimentos.","História: A Menina que não gostava de frutas
Autora : Cidlia Fernandes
Narradora: Patrícia Marisa"
Matemática,3º,EF03MA05,"Desenvolvimento de estratégias pessoais e convencionais de cálculo envolvendo adição, subtração e Conteúdos: multiplicação (usando propriedades do sistema de numeração).",1.0,3º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_08: Números para medir e operar,"Pedir para que cada um, que desenhe em seu cadernodiversas imagens de instrumentos de medida como, porexemplo: régua, termômetro, balança, jarra. Em seguida,solicitar para que o estudante circule apenas o instrumentode medida utilizado pelos feirantes para medir a massados alimentos.","História: A Menina que não gostava de frutas
Autora : Cidlia Fernandes
Narradora: Patrícia Marisa"
Ciências,3º,EF03CI05,"Descrever e comunicar, utilizando diferentes linguagens (imagens, texto, vídeos, desenhos, música etc.), as alterações que ocorrem desde o nascimento em animais de diferentes meios terrestres ou aquticos, inclusive o homem.",1.0,3º,Módulo 2,Aula 09,19 e 20,CIE_Unidade_03: Os alimentos,"Pedir para que os alunos levem figuras de alimentos. Na aula,construir um cartaz agrupando os alimentos de acordo com asua origem: alimentos de origem animal e alimentos deorigem vegetal.","História: O grande rabanete
Autora: Tatiana Belinky
Narradora: Luciana celi"
Maneiras de pensar e agir,3º,EF03GE2,"Identificar, em seus lugares de vivência, marcas de contribuição cultural e econômica de grupos de diferentes origens enfatizando as contribuições dos povos originários de cada região.",1.0,3º,Módulo 2,Aula 10,21 e 22,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Solicitar que cada um liste em seu caderno quais são as suasnecessidades e desejos do dia a dia. Em seguida, abrir umaroda de conversa para discussão e identificação dasnecessidades e desejos em comum","História: O Menino que Aprendeu a Ver
Autora: Ruth Rocha
Narradora: Sonia Kerner"
Língua Portuguesa,3º,EF03LP21,"Produzir anúncios publicitários, textos de campanhas de conscientização destinados ao público infantil, observando os recursos de persuasão utilizados nos textos publicitários e de propaganda (cores, imagens, slogan, escolha de palavras, jogo de palavras, tamanho e tipo de letras, diagramação).",1.0,3º,Módulo 1,Aula 11,23 e 24,LP_Unidade_06: Desafios e Histórias,"Pedir para que os alunos façam recorte e colagem depalavras em revistas, jornais entre outros, que possuamencontro consonantal.","História: João Jiló
Autor: Conto Popular
Narradora: Natiara"
Matemática,3º,EF03MA15,"Classificar e comparar figuras planas (triângulo, quadrado, retângulo, trapézio e paralelogramo) em relação a seus lados (quantidade, posições relativas e comprimento) e vértices",1.0,3º,Módulo 3,Aula 12,25 e 26,MAT_Unidade_11: Noções Geométricas: Figuras Planas,"Pedir que os alunos tragam de casa, 02 objetos de casa quepossuam as formas geométricas estudadas. Exemplo: Bola,caixa e etc","História: A tartaruga e a fruta amarela
Autor: Ricardo Azevedo
Narradora: Valdira Silva Nascimento"
Matemática,3º,EF03MA13,"Associar figuras geométricas espaciais (cubo, bloco retangular, pirâmide, cone, cilindro e esfera) a objetos do mundo físico e nomear essas figuras.",1.0,3º,Módulo 3,Aula 13,27 e 28,MAT_Unidade_11: Noções geométricas: figuras planas,"Identificar as figuras geométricas de sua sala, contar aquantidade de lados e informar se essa quantidade (de lados)é um numeral par ou ímpar.","História: Amanda no país das vitaminas
Autor: Leonardo Mendes Cardoso
Narradora: Valdira Texto"
Matemática,3º,EF03MA13,"Associar figuras geométricas espaciais (cubo, bloco retangular, pirâmide, cone, cilindro e esfera) a objetos do mundo físico e nomear essas figuras.",1.0,3º,Módulo 3,Aula 13,27 e 28,MAT_Unidade_12: Figuras geométricas tridimensionais,"Identificar as figuras geométricas de sua sala, contar aquantidade de lados e informar se essa quantidade (de lados)é um numeral par ou ímpar.","História: Amanda no país das vitaminas
Autor: Leonardo Mendes Cardoso
Narradora: Valdira Texto"
Ciências,3º,EF01CI02,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",1.0,3º,Módulo 3,Aula 14,29 e 30,CIE_Unidade_01: O corpo humano,"Escrever em pequenos papéis as regiões do corpo estudadas.A partir disso, convidar um aluno para que fique na frente dasala e os demais alunos, sem ver, escolhem um dessespapéis e colam na área do corpo correspondente do colega.","História: Alimentos saudáveis
Autor: Simeon Marinkovic
Narradora: Valdira Silva Nascimento"
Princípios para uma vida saudável,3º,EF05CI09,"Discutir a ocorrência de distúrbios nutricionais (como obesidade, subnutrição etc.) entre crianças e jovens a partir da análise de seus hábitos (tipos e quantidade de alimento ingerido, prática de atividade física etc.).",1.0,3º,Módulo 3,Aula 15,31 e 32,"VID_Unidade_02: Saúde e doença: higiene, descanso, alimentação e esporte","Propor que os alunos escolham seu esporte favorito e quaisas vestimentas adequadas para a sua prática.","História: Chelé, o jacaré de chulé
Autora: Gina Borges
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,3º,EF15AR20,"Experimentar o trabalho colaborativo, coletivo e autoral em improvisações teatrais e processos narrativos criativos em teatro, explorando desde a teatralidade dos gestos e das ações do cotidiano até elementos de diferentes matrizes estéticas e culturais.",1.0,3º,Módulo 4,Aula 16,33 e 34,MP_Unidade_04: Trabalho colaborativo,"Construir cartazes com imagens de boas ações com otrabalho em equipe.","História: D. Cotinha, Tom o gato Joca.
Autora: Clo Busatto
Narradora: Maria da Conceição"
Língua Portuguesa,3º,EF03LP13,"Planejar e produzir cartas pessoais e diários, com expressão de sentimentos e opiniões, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções dos gêneros carta e diário e considerando a situação comunicativa e o tema/assunto do texto.",1.0,3º,Módulo 4,Aula 17,35 e 36,LP_Unidade_05: Sentimentos e Emoções,"Solicitar que os alunos recortem de jornais ou revistaspalavras que possuem Nh, Ch ou Lh.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profª Patrícia"
Língua Portuguesa,3º,EF03LP13,"Planejar e produzir cartas pessoais e diários, com expressão de sentimentos e opiniões, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções dos gêneros carta e diário e considerando a situação comunicativa e o tema/assunto do texto.",1.0,3º,Módulo 4,Aula 17,35 e 36,LP_Unidade_16: Amigos do H e fadas,"Solicitar que os alunos recortem de jornais ou revistaspalavras que possuem Nh, Ch ou Lh.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profª Patrícia"
Matemática,3º,EF03MA18,"Escolher a unidade de medida e o instrumento mais apropriado para medições de comprimento, tempo Conteúdos: e capacidade.",1.0,3º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_06: Calendário e cálculos,"Levar um calendário e pedir que os alunos pintem a data quecorresponde ao seu aniversário e destacar qual a atual data emês daquele dia.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profª Valdira"
Ciências,3º,EF03CI08,"Observar, identificar e registrar os períodos diários (dia e/ou noite) em que o Sol, demais estrelas, Lua e planetas que estão visíveis no céu",1.0,3º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_14: Dia e Noite,"Solicitar que os alunos construam uma maqueterepresentando a rua onde moram, utilizando materiaisreciclados.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Ciências,3º,EF03CI08,"Observar, identificar e registrar os períodos diários (dia e/ou noite) em que o Sol, demais estrelas, Lua e planetas que estão visíveis no céu",1.0,3º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_16: Localização Temporal e Espacial,"Solicitar que os alunos construam uma maqueterepresentando a rua onde moram, utilizando materiaisreciclados.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Tecnologia,3º,EF15AR26,"Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística.",1.0,3º,Módulo 4,Aula 20,41 e 42,TEC_Unidade_04: O Computador e seus recursos,"Pedir para que os alunos desenhem um computador, comteclado, tela, mouse e etc e identifique cada uma dessaspartes, falando sobre o uso de cada uma delas.","História: Um Amigo Fiel
Autor: Almeida Junior
Narradora: Profª Patrícia Marisa"
Maneiras de pensar e agir,3º,EF15AR05,"Experimentar a criação em artes visuais de modo individual, coletivo e colaborativo, explorando diferentes espaços da escola e da comunidade.",1.0,3º,Módulo 5,Aula 21,43 e 44,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito","Realizar uma roda de conversa com os alunos sobre as açõesde boas práticas para um bom convívio dentro e forada escola.","História: O Urso e as Abelhas
Autor: Esopo
Narradora: Profª Patrícia Marisa"
Língua Portuguesa,3º,EF03LP13,"Planejar e produzir cartas pessoais e diários, com expressão de sentimentos e opiniões, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções dos gêneros carta e diário e considerando a situação comunicativa e o tema/assunto do texto.",1.0,3º,Módulo 5,Aula 22,45 e 46,LP_Unidade_02: Troca Letra e Fábulas,"Realizar um ditado de palavras, escolher 04 e a partir delastrocar as letras para formar novas palavras. Exemplo: apalavra dita no ditado foi ""mola"" e a partir disso formar aspalavras cola, gola e etc.","História: Respeito
Autora: Maria do Rosário Moita Macedo
Narradora: Patrícia Marisa"
Língua Portuguesa,3º,EF03LP02,"Ler e escrever corretamente palavras com sílabas CV, V, CVC, CCV , VC, VV, CVV, identificando que existem vogais em todas as sílabas.",1.0,3º,Módulo 5,Aula 23,47 e 48,LP_Unidade_04: Onomatopeias e Poemas,"Escrever no quadro algumas onomatopéias e pedir para queos alunos identifiquem aquilo ou o que que produz aquelesom. Exemplo: Atchim! / Resposta: Espirro.","História: Felicidade
Autoras:Carla Conceição Selva A. Moreira Pinheiro e
Sandra da Silva Lima
Narradora: Profª Valdira"
Matemática,3º,EF03MA14,"Descrever características de algumas figuras geométricas espaciais (prismas retos, pirâmides, cilindros, cones), relacionando-as com suas planificações.",1.0,3º,Módulo 5,Aula 24,49 e 50,MAT_Unidade_12: Figuras geométricas tridimensionais,"Pedir para que os alunos façam a utilização da régua e vejamo comprimento dos principais objetos usados em sala, como:caderno, lápis, borracha.","História: Meus Heróis
Autor: Almeida Junior
Narradora: Sara dos Santos Rocha"
Ciências,3º,EF03CI02,"Experimentar e relatar o que ocorre com a passagem da luz através de objetos transparentes (copos, janelas de vidro, lentes, prismas, água etc.), no contato com superfícies polidas (espelhos) e na intersecção com objetos opacos (paredes, pratos, pessoas e outros objetos de uso cotidiano).",1.0,3º,Módulo 5,Aula 25,51 e 52,CIE_Unidade_10: Os materiais,"Escolher alguns objetos na sala de aula ou escola e pedirpara que os alunos identifiquem a matéria prima. Exemplo:Cadeira - madeira.","História: Brinquedos Falantes
Autor: Almeida Junior
Narradora: Sara dos Santos Rocha"
Cidadania e Convivência em Paz,3º,EF05HI04,"Compreender a noção de cidadania e associar aos princípios de respeito à diversidade, à pluralidade e aos direitos humanos.",1.0,3º,Módulo 6,Aula 26,53 e 54,CIC_Unidade_01: Cidadania e Convivência na escola,"Pedir que os alunos escrevam quais as palavras de gentilezaeles mais utilizam em seu dia a dia.","História: O Chapéu de Palha Histórias de Minervina.
Autora: Isabel Melo
Narradora: Luciana Celi"
Língua Portuguesa,3º,EF03LP03,"Ler e escrever corretamente palavras com os dígrafos lh, nh, ch.",1.0,3º,Módulo 6,Aula 27,55 e 56,"LP_Unidade_10: Entre x, ch e bruxas","Pedir que os alunos tragam palavras com CH e que elesretirem a letra H, identificando se a palavra que surgiu temsentido. Exemplo: Chama/ Cama.","História: Chico, o amigo dos animais
Autor: Almeida Junior
Narradora: Sara dos Santos Rocha"
Matemática,3º,EF03MA01SE,"Reconhecer, utilizar e analisar os números naturais como indicador de quantidade ou de ordem em diferentes situações cotidianas e reconhecer situações em que os números não indicam contagem nem ordem, mas sim código de identificação, utilizando-se de jogos, exploração de problemas de contagem de objetos do cotidiano, observação de documentos pessoais e códigos presentes em contas de água, código de barras, entre outros presentes no contexto social da comunidade escolar e regional.",1.0,3º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_01: O Mundo dos Números,"Pedir que os alunos tragam palavras com CH e queeles retirem a letra H, identificando se a palavra quesurgiu tem sentido. Exemplo: Chama/ Cama.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Matemática,3º,EF03MA01SE,"Reconhecer, utilizar e analisar os números naturais como indicador de quantidade ou de ordem em diferentes situações cotidianas e reconhecer situações em que os números não indicam contagem nem ordem, mas sim código de identificação, utilizando-se de jogos, exploração de problemas de contagem de objetos do cotidiano, observação de documentos pessoais e códigos presentes em contas de água, código de barras, entre outros presentes no contexto social da comunidade escolar e regional.",1.0,3º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_16: Para saber mais sobre os sistemas de numeração,"Pedir que os alunos tragam palavras com CH e queeles retirem a letra H, identificando se a palavra quesurgiu tem sentido. Exemplo: Chama/ Cama.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Ciências,3º,EF03CI01SE,Compreender a importância da conservação do ambiente e a preservação das espécies como formas de garantir a manutenção do equilíbrio ambiental.,1.0,3º,Módulo 6,Aula 29,59 e 60,CIE_Unidade_05: Animais Vertebrados,"Pedir que os alunos pesquisem imagens de ações queacontecem na natureza de forma natural ou que sãocausadas pelo homem, observando suas consequências.","História: Vovó tem Alzha ... o quê?
Autora: Veronique Van den Abeele
Narradora: Silvaneide"
Tecnologia,3º,EF15AR26,"Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística.",1.0,3º,Módulo 6,Aula 30,61 e 62,TEC_Unidade_02: A história das máquinas e seus tipos,"Pedir para que os alunos desenhem 02 máquinas simples e02 máquinas compostas.","História: O Pinguim e a Preguiça
Autora: Ana Rosa
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,3º,EF03HI05,Identificar os marcos históricos do lugar em que vive e compreender seus significados.,1.0,3º,Módulo 7,Aula 31,63 e 64,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Solicitar que os alunos escrevam ou desenhem açõespositivas e negativas que estes presenciam em seu cotidianoe, em um roda de conversa, discutir cada uma das ações queos alunos apresentaram.","História: Bruna e a Galinha D'Angola
Autora: Gercila de Almeida
Narradora: Maria da Conceição"
Língua Portuguesa,3º,EF03LP11,"Ler e compreender,com autonomia, textos injuntivos instrucionais (receitas,instruções de montagem etc.),com a estrutura própria desses textos (verbos imperativos,indicação de passos a ser seguidos) e mesclando palavras, imagens e recursos gráfico visuais, considerando a situação comunicativa e o tema/assunto do texto.",1.0,3º,Módulo 7,Aula 32,65 e 66,LP_Unidade_07: Amigos de lá,"Solicitar aos alunos que formem grupos e entre si escolhamum funcionário da escola, que eles gostam muito, e juntosfaçam uma entrevista. Com estes dados, construam um livrosobre essa pessoa.","História: O Amigo do Rei
Autora: Ruth Rocha
Narradora: Valdira"
Matemática,3º,EF03MA26,"Resolver problemas cujos dados estão apresentados em tabelas de dupla entrada, gráficos de barras ou de colunas.",1.0,3º,Módulo 7,Aula 33,67 e 68,MAT_Unidade_14: Comparação dos números,"Solicitar que os alunos escrevam em um papel suas idades.Logo após, pedir para que estes ordenem suas idades deforma crescente e decrescente.","História: Menina bonita do laço de fita.
Autora: Ana Maria Machado
Narradora: Aline Avila"
Ciências,3º,EF03GE4,"Compreender e explicar como os processos naturais e históricos atuam na produção e na mudança das paisagens naturais e antrópicas nos seus lugares de vivência, comparando-os a outros lugares, desenvolvendo senso crítico em relação a ação humana sobre a natureza.",1.0,3º,Módulo 7,Aula 34,69 e 70,CIE_Unidade_07: Paisagens Naturais e Culturais,"Levar para os alunos imagens que representam paisagensnaturais e culturais. A partir disso, solicitar que circulemquais as diferenças entre elas.","História: Cabelo de Lelê
Autora: Valéria Belém
Narrador: Alex Santos"
Cidadania e Convivência em Paz,3º,EF03HI05,Identificar os marcos históricos do lugar em que vive e compreender seus significados.,1.0,3º,Módulo 7,Aula 35,71 e 72,CIC_Unidade_02: Profissionais da escola e a Responsabilidade no Espaço,"Levar para sala de aula imagens de práticas corretas eerradas na escola. Separar os alunos em grupos, distribuir asfiguras e solicitar que discutam sobre estas práticas,observando a compreensão deles sobre asações destacadas","História: A linda Garota de Angola
Autora:Ana Gisélia Vieira
Narrador: Alex Santos"
Maneiras de pensar e agir,3º,EF03HI03,"Identificar e comparar pontos de vista em relação a eventos significativos do local em que vive, aspectos relacionados a condições sociais e à presença de diferentes grupos sociais e culturais.",1.0,3º,Módulo 8,Aula 36,73 e 74,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito","Distribuir figuras em preto e branco, que representamemoções do cotidiano dos alunos. Após, solicitar que pinteme coloquem o nome de cada uma das emoções presentesna folha.","História: Joaninha sem bolinha
Autora: Carolina Rodrigues da Silva Souza
Narradora: Patrícia Marisa"
Língua Portuguesa,3º,EF03LP11,"Ler e compreender,com autonomia, textos injuntivos instrucionais (receitas,instruções de montagem etc.),com a estrutura própria desses textos (verbos imperativos,indicação de passos a ser seguidos) e mesclando palavras, imagens e recursos gráfico visuais, considerando a situação comunicativa e o tema/assunto do texto.",1.0,3º,Módulo 8,Aula 37,75 e 76,LP_Unidade_05: Sentimentos e Emoções,"Fazer um ditado de palavras do cotidiano dos alunos, edepois solicitar que eles coloquem estas palavras noaumentativo e diminutivo.","História: O Livro da Família
Autor: Todd Parr
Narradora: Silvaneide"
Matemática,3º,EF03MA02SE,"Identificar e compreender o valor posicional absoluto e relativo, utilizando a composição e a decomposição de número natural de até quatro ordens, fazendo uso do material dourado, ábaco, moedas e cédulas, entre outros.",1.0,3º,Módulo 8,Aula 38,77 e 78,MAT_Unidade_09: Muitos cálculos,"Reunir os alunos e construir grupos. Usando os pés,solicitando que estes afiram o comprimento e a largura dopátio e da sala. Com as mãos, estes devem medir ascarteiras, quadro negro e cadeiras.","História: Eu sinto tanto
Autora: Carol Arruda
Narradora: Aline Avila"
Ciências,3º,EF03CI07,"Identificar características da Terra (como seu formato esférico, a presença de água, solo etc.), com base na observação, manipulação e comparação de diferentes formas de representação do planeta (mapas, globos, fotografias etc.).",1.0,3º,Módulo 8,Aula 39,79 e 80,CIE_Unidade_11: Água,"Levar para sala de aula figuras que representam lugares ondepodemos encontrar água e lugares onde não podemos. Emseguida, pedir para que os alunos sinalizem cada um deles.","História: A Casa Amarela
Autora: Keyla Ferrari
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,3º,EF15AR06,"Dialogar sobre a sua criação e as dos colegas, para alcançar sentidos plurais, compartilhando com os demais, identificando e valorizando as diferenças.",1.0,3º,Módulo 8,Aula 40,81 e 82,MP_Unidade_01: Eu e eu mesmo no grupo,"Solicitar que os alunos desenhem uma pessoa que eles seidentificam. Após, os reúna em uma roda de conversa ediscuta sobre semelhanças e diferenças.","História: Vermelha de Vergonha
Autora: Marcia Coivo Villela
Narradora: Natiara"
Cidadania e Convivência em Paz,4º,EF04GE01,"Selecionar, em seus lugares de vivência e em suas histórias familiares e/ou da comunidade, elementos de distintas culturas (indígenas, afro-brasileiras, de outras regiões do país, latino-americanas, europeias, asiáticas etc.), valorizando o que é próprio em cada uma delas e sua contribuição para a formação da cultura local, regional e brasileira.",1.0,4º e 5º,Módulo 1,Aula 01,03 e 04,CIC_Unidade_03: As relações familiares,"Na sala de aula, pedir para que os educandos ilustremsua árvore genealógica e apresentem sua arte para osdemais colegas.","História: No reino da Lagartolândia
Autora: Patrícia Senna
Narradora: Patrícia Marisa"
Cidadania e Convivência em Paz,4º,EF05HI04,"Compreender a noção de cidadania e associar aos princípios de respeito à diversidade, à pluralidade e aos direitos humanos.",1.0,4º e 5º,Módulo 1,Aula 01,03 e 04,CIC_Unidade_03: As relações familiares,"Na sala de aula, pedir para que os educandos ilustremsua árvore genealógica e apresentem sua arte para osdemais colegas.","História: No reino da Lagartolândia
Autora: Patrícia Senna
Narradora: Patrícia Marisa"
Língua Portuguesa,4º,EF01LP07,Identificar fonemas e sua representação por letras.,1.0,4º e 5º,Módulo 1,Aula 02,05 e 06,LP_Unidade_14: M/N/J/G e Relato,"Levar figuras e solicitar que coloquem os nomes destas,com o objetivo de ajudá-los a compreender melhor asregras de ortografia.","História: Belas Bananas
Autora: Elizabeth Laird
Narradora: Aline Avila"
Língua Portuguesa,4º,EF02LP14,"Planejar e produzir pequenos relatos de observação de processos, de fatos, de experiências pessoais, mantendo as características do gênero, considerando a situação comunicativa e o tema/assunto do texto.",1.0,4º e 5º,Módulo 1,Aula 02,05 e 06,LP_Unidade_14: M/N/J/G e Relato,"Levar figuras e solicitar que coloquem os nomes destas,com o objetivo de ajudá-los a compreender melhor asregras de ortografia.","História: Belas Bananas
Autora: Elizabeth Laird
Narradora: Aline Avila"
Matemática,4º,EF04MA03,"Resolver e elaborar problemas com números naturais envolvendo adição e subtração, utilizando estratégias diversas, como cálculo por estimativa, cálculo mental e algoritmos.",1.0,4º e 5º,Módulo 1,Aula 03,7 e 8,MAT_Unidade_07: Somando e subtraindo: Ampliando conceitos,"Criar uma lista de frutas, doces, bolos e sucos para umpossível piquenique. em seguida, deixar com que os alunosescolham a quantidade e o que levar. Ao final, somar aquantidade geral de alimentos, verificando a quantidade paraa turma.","História: O macaco Simão
Autor: Ricardo Azevedo
Narradora: Natiara"
Matemática,4º,EF05MA07,"Resolver e elaborar problemas de adição e subtração com números naturais e com números racionais, cuja representação decimal seja finita, utilizando estratégias diversas, como cálculo por estimativa, cálculo mental e algoritmo",1.0,4º e 5º,Módulo 1,Aula 03,7 e 8,MAT_Unidade_07: Somando e subtraindo: Ampliando conceitos,"Criar uma lista de frutas, doces, bolos e sucos para umpossível piquenique. em seguida, deixar com que os alunosescolham a quantidade e o que levar. Ao final, somar aquantidade geral de alimentos, verificando a quantidade paraa turm.","História: O macaco Simão
Autor: Ricardo Azevedo
Narradora: Natiara"
